fips,pop
8109,6824
8077,154210
8099,12172
8053,820
8041,720403
8121,4908
8049,15734
8005,656590
8089,18278
8014,70465
10003,558753
10005,234225
10001,180786
11001,705749
9009,854757
9005,180333
9003,891720
9015,116782
9011,265206
9007,162436
9013,150721
9001,943332
12133,25473
12031,957755
12007,28201
12009,601942
12019,219252
12067,8422
12069,367118
12089,88625
12103,974996
12105,724777
12111,328297
12043,13811
12051,42022
12061,159923
12063,46414
12099,1496770
12109,264672
12117,471826
12086,2716940
12005,174705
12035,115081
12037,12125
12045,13639
12047,14428
12077,8354
12097,375751
12119,132420
12131,74071
12039,45660
12059,19617
12065,14246
12071,770577
12083,365579
12049,26937
12021,384902
12093,42168
12095,1393452
12101,553947
12041,18582
12055,106221
12121,44417
12001,269043
12027,38001
12013,14105
12015,188910
12023,71686
12029,16826
12085,161000
12107,74521
12115,433742
12125,15237
12081,403253
12017,149657
12075,41503
12003,29210
12113,184313
12127,553284
12073,293582
12011,1952778
12079,18493
12087,74228
12033,318316
12053,193920
12057,1471968
12091,210738
12123,21569
12129,33739
13187,33610
13189,21312
13201,5718
13211,19276
13149,11923
13219,40280
13095,87956
13111,26188
13151,234561
13153,157863
13175,47546
13183,19559
13255,66703
13257,25925
13271,15860
13291,24511
13293,26320
13303,20374
13311,30798
13225,27546
13223,168667
13229,19465
13231,18962
13245,202518
13251,13966
13267,25286
13019,19397
13295,69761
13135,936250
13013,83240
13049,13392
13065,6618
13015,107738
13097,146343
13131,24633
13161,15115
13141,8457
13313,104628
13037,6189
13193,12947
13285,69922
13021,153159
13145,35236
13197,8359
13249,5257
13321,20247
13023,12873
13093,13390
13109,10654
13119,23349
13307,2607
13103,64296
13171,19077
13125,2971
13107,22646
13239,2299
13051,289430
13159,14219
13167,9643
13173,10423
13179,61435
13195,29880
13205,21863
13253,8090
13277,40644
13289,8120
13233,42613
13263,6195
13269,8020
13273,8531
13275,44451
13279,26830
13319,8954
13209,9172
13221,15259
13243,6778
13247,90896
13299,35734
13305,29927
13309,7855
13315,8635
13009,44890
13011,19234
13031,79608
13059,128331
13061,2834
13101,4006
13127,85292
13089,759297
13143,29792
13157,72977
13163,15362
13169,28735
13181,7921
13213,40096
13215,195769
13235,11137
13241,17137
13259,6621
13281,12037
13283,6901
13287,7985
13155,9416
13003,8165
13001,18386
13005,11164
13025,19109
13017,16700
13033,22383
13047,67580
13053,10907
13055,24789
13073,156714
13087,26404
13115,98498
13117,244252
13137,45328
13147,26205
13185,117406
13191,14378
13199,21167
13207,27578
13237,22119
13261,29524
13265,1537
13301,5254
13007,3038
13029,39627
13035,24936
13043,10803
13039,54666
13045,119992
13079,12404
13099,10190
13081,22372
13069,43273
13077,148509
13067,760141
13123,31369
13083,16116
13297,94593
13317,9777
13027,15457
13091,20605
13129,57963
13105,19194
13057,258773
13113,114421
13165,8676
13177,29992
13217,111744
13227,32591
13133,18324
13071,45600
13075,17270
13085,26108
13063,292256
13121,1063937
13139,204441
15001,201513
15003,974563
15009,167417
15007,72293
15005,86
16071,4531
16031,24030
16045,18112
16063,5366
16085,11392
16003,4294
16041,13876
16069,40408
16053,24412
16055,165697
16061,3838
16067,21039
16083,86878
16073,11823
16013,23021
16015,7831
16021,12245
16023,2597
16029,7155
16047,15179
16001,481587
16005,87808
16007,6125
16011,46811
16019,119062
16025,1106
